datetime,level,message
"2025-07-05 14:06:09,890",INFO,(i) Hello from api_client.py logger
"2025-07-05 14:22:27,552",INFO,[MOCK] Fetched 1 instruments.
"2025-07-05 14:23:34,865",INFO,[MOCK] Recieved RFQ mock-rfq-id at price 20293.0
"2025-07-05 14:23:36,166",INFO,"[MOCK] Order placed: Order(order_id='mock-order-id', client_order_id='mock-client-order-id', quantity='0.543', base_quantity='0.543', side='buy', instrument='BTCUSD.SPOT', currency='BTC', order_type='FOK', price='20293.0', executed_price='20293.0', executing_unit='mock-unit', trades=[], created='2025-07-05T00:00:00Z')"
"-------2025-07-08 12:03:27,797",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:06:50,789",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:06:50,790",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:06:50,878",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:07:11,120",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:07:11,121",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:07:11,194",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:10:03,527",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:10:03,529",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:10:03,606",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:25:11,338",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:25:11,340",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:25:11,446",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:27:37,720",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:27:37,721",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:27:37,804",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:27:41,555",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:27:41,556",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:27:41,634",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:27:48,428",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:27:48,428",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:27:48,504",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:28:56,932",INFO,[MOCK] Fetched 1 instruments.
"2025-07-08 12:29:01,412",INFO,[MOCK] Recieved RFQ mock-rfq-id at price 20293.0
"2025-07-08 12:29:02,871",INFO,"[MOCK] Order placed: Order(order_id='mock-order-id', client_order_id='mock-client-order-id', quantity='0.292', base_quantity='0.292', side='buy', instrument='BTCUSD.SPOT', currency='BTC', order_type='FOK', price='20293.0', executed_price='20293.0', executing_unit='mock-unit', trades=[], created='2025-07-05T00:00:00Z')"
"2025-07-08 12:29:20,789",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:29:20,790",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:29:20,867",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:30:16,915",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:30:16,915",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:30:16,983",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:31:15,259",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:31:15,260",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:31:15,336",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:31:53,876",ERROR,Error fetching balance: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/balance/
"2025-07-08 12:31:53,877",ERROR,Balance fetch failed: Failed to fetch balance
"2025-07-08 12:31:53,956",ERROR,Error fetching instruments: 403 Client Error: Forbidden for url: https://api.uat.b2c2.net/instruments/
"2025-07-08 12:34:43,686",INFO,Fetched account balance.
"2025-07-08 12:34:43,833",INFO,Fetched 5 instruments.
"2025-07-08 12:36:09,041",INFO,Recieved RFQ 96b68bf2-78cf-4299-9d2a-27d97f416fe0 at price 108783.0
"2025-07-08 12:36:14,134",INFO,Fetched account balance.
"2025-07-08 12:36:14,134",ERROR,Error placing order: Object of type datetime is not JSON serializable
"2025-07-08 12:38:57,505",INFO,Fetched account balance.
"2025-07-08 12:38:57,629",INFO,Fetched 5 instruments.
"2025-07-08 12:39:24,241",INFO,Recieved RFQ f926ebe7-ee52-43b5-beb0-3d75e3727955 at price 108922.0
"2025-07-08 12:39:28,493",INFO,Fetched account balance.
"2025-07-08 12:39:28,639",ERROR,"Error placing order: float() argument must be a string or a real number, not 'NoneType'"
"2025-07-08 12:48:02,278",INFO,Fetched account balance.
"2025-07-08 12:48:02,410",INFO,Fetched 5 instruments.
"2025-07-08 12:48:18,540",INFO,Recieved RFQ 3fb4f6c4-81bb-4cb2-9001-72833b40bad6 at price 108890.0
"2025-07-08 12:48:20,921",INFO,Fetched account balance.
"2025-07-08 12:48:21,065",INFO,Order placed: 1075f9dc-5be9-11f0-aedb-2d53a56693fd
"2025-07-08 12:48:23,020",ERROR,Error fetching order status for 1075f9dc-5be9-11f0-aedb-2d53a56693fd: 'list' object has no attribute 'get'
"2025-07-08 12:53:14,003",INFO,Fetched account balance.
"2025-07-08 12:53:14,128",INFO,Fetched 5 instruments.
"2025-07-08 12:53:35,722",INFO,Recieved RFQ 4be58e77-c252-4d20-bc7c-47d04e41f816 at price 108910.0
"2025-07-08 12:53:41,075",INFO,Fetched account balance.
"2025-07-08 12:53:41,229",INFO,Order placed: cf4bbce2-5be9-11f0-9e1c-8db41a8fed7a
